Date,Sales,Quantity,Category
2024-01-01,802.29,24,Clothing
2024-01-02,843.04,20,Clothing
2024-01-03,922.69,21,Clothing
2024-01-04,941.15,19,Clothing
2024-01-05,757.74,24,Home
2024-01-06,596.24,24,Electronics
2024-01-07,736.7,25,Home
2024-01-08,757.3,15,Electronics
2024-01-09,747.97,15,Office
2024-01-10,829.52,19,Home
2024-01-11,711.58,17,Clothing
2024-01-12,627.43,14,Office
2024-01-13,617.05,20,Clothing
2024-01-14,485.2,9,Electronics
2024-01-15,557.64,15,Clothing
2024-01-16,692.81,19,Clothing
2024-01-17,670.02,17,Home
2024-01-18,697.06,26,Office
2024-01-19,529.81,18,Clothing
2024-01-20,439.88,9,Electronics
2024-01-21,637.49,23,Office
2024-01-22,593.01,14,Home
2024-01-23,679.69,21,Electronics
2024-01-24,599.61,16,Home
2024-01-25,610.0,18,Electronics
2024-01-26,578.62,16,Electronics
2024-01-27,454.14,10,Electronics
2024-01-28,578.84,17,Clothing
2024-01-29,595.38,14,Office
2024-01-30,696.6,18,Clothing
2024-01-31,705.31,16,Home
2024-02-01,827.84,16,Home
2024-02-02,639.95,14,Office
2024-02-03,534.16,17,Home
2024-02-04,683.38,26,Electronics
2024-02-05,629.02,19,Office
2024-02-06,798.55,19,Electronics
2024-02-07,679.1,26,Office
2024-02-08,673.32,17,Office
2024-02-09,693.88,16,Electronics
2024-02-10,677.64,19,Electronics
2024-02-11,653.26,14,Clothing
2024-02-12,698.13,25,Home
2024-02-13,747.98,27,Electronics
2024-02-14,679.12,14,Clothing
2024-02-15,789.22,20,Electronics
2024-02-16,717.08,16,Office
2024-02-17,756.28,20,Clothing
2024-02-18,717.11,22,Electronics
2024-02-19,641.41,13,Electronics
2024-02-20,719.74,15,Electronics
2024-02-21,685.12,15,Home
2024-02-22,613.61,19,Electronics
2024-02-23,617.65,14,Office
2024-02-24,596.92,17,Electronics
2024-02-25,610.82,22,Office
2024-02-26,571.31,11,Clothing
2024-02-27,683.33,23,Clothing
2024-02-28,751.24,14,Office
2024-02-29,754.68,20,Home
2024-03-01,593.21,19,Office
2024-03-02,575.26,14,Office
2024-03-03,544.45,11,Home
2024-03-04,620.16,13,Electronics
2024-03-05,831.35,17,Clothing
2024-03-06,892.98,20,Home
2024-03-07,758.64,17,Electronics
2024-03-08,755.66,15,Home
2024-03-09,668.25,21,Home
2024-03-10,620.89,16,Clothing
2024-03-11,755.07,24,Office
2024-03-12,898.06,16,Clothing
2024-03-13,807.24,15,Electronics
2024-03-14,854.88,33,Home
2024-03-15,495.67,11,Home
2024-03-16,660.51,13,Electronics
2024-03-17,619.36,20,Home
2024-03-18,653.74,16,Clothing
2024-03-19,738.98,14,Electronics
2024-03-20,611.5,24,Office
2024-03-21,669.26,15,Electronics
2024-03-22,621.82,18,Electronics
2024-03-23,641.07,12,Electronics
2024-03-24,525.95,10,Clothing
2024-03-25,576.99,11,Clothing
2024-03-26,669.15,17,Clothing
2024-03-27,782.77,15,Home
2024-03-28,702.18,14,Electronics
2024-03-29,576.37,17,Office
2024-03-30,605.1,12,Home
2024-03-31,726.21,28,Clothing
2024-04-01,864.7,20,Electronics
2024-04-02,838.19,26,Home
2024-04-03,891.39,31,Electronics
2024-04-04,849.28,31,Home
2024-04-05,591.17,13,Office
2024-04-06,664.95,19,Home
2024-04-07,686.28,15,Home
2024-04-08,744.14,28,Home
2024-04-09,800.78,23,Home
2024-04-10,740.95,18,Clothing
2024-04-11,754.16,15,Clothing
2024-04-12,676.22,20,Clothing
2024-04-13,590.82,13,Clothing
2024-04-14,641.41,12,Home
2024-04-15,738.82,17,Office
2024-04-16,894.99,28,Home
2024-04-17,790.23,31,Home
2024-04-18,736.17,14,Clothing
2024-04-19,626.32,24,Electronics
2024-04-20,448.61,9,Clothing
2024-04-21,581.29,14,Home
2024-04-22,651.4,12,Office
2024-04-23,874.11,18,Office
2024-04-24,717.25,13,Clothing
2024-04-25,701.37,20,Office
2024-04-26,604.42,13,Office
2024-04-27,487.22,13,Electronics
2024-04-28,662.05,17,Office
2024-04-29,715.91,16,Electronics
2024-04-30,799.07,16,Office
2024-05-01,717.11,13,Office
2024-05-02,830.37,17,Office
2024-05-03,581.63,15,Electronics
2024-05-04,673.39,18,Electronics
2024-05-05,805.25,17,Office
2024-05-06,677.76,21,Electronics
2024-05-07,782.9,28,Electronics
2024-05-08,848.77,24,Electronics
2024-05-09,763.88,23,Clothing
2024-05-10,618.42,18,Office
2024-05-11,673.36,21,Home
2024-05-12,613.38,23,Home
2024-05-13,777.67,30,Home
2024-05-14,749.8,14,Clothing
2024-05-15,1038.56,27,Office
2024-05-16,828.04,23,Electronics
2024-05-17,769.15,17,Electronics
2024-05-18,783.38,25,Electronics
2024-05-19,657.35,12,Office
2024-05-20,692.8,14,Clothing
2024-05-21,824.89,30,Home
2024-05-22,645.98,17,Electronics
2024-05-23,708.87,14,Electronics
2024-05-24,632.91,12,Clothing
2024-05-25,617.68,16,Home
2024-05-26,505.7,12,Clothing
2024-05-27,574.77,19,Office
2024-05-28,771.12,14,Home
2024-05-29,781.97,24,Electronics
2024-05-30,739.89,14,Electronics
2024-05-31,678.8,15,Office
2024-06-01,574.87,13,Clothing
2024-06-02,663.26,16,Office
2024-06-03,749.06,23,Office
2024-06-04,764.72,25,Electronics
2024-06-05,959.44,30,Clothing
2024-06-06,828.36,27,Clothing
2024-06-07,648.26,13,Home
2024-06-08,723.8,20,Clothing
2024-06-09,637.02,24,Office
2024-06-10,821.43,15,Office
2024-06-11,913.2,18,Office
2024-06-12,797.02,15,Clothing
2024-06-13,857.45,16,Office
2024-06-14,735.11,24,Electronics
2024-06-15,703.31,19,Home
2024-06-16,780.02,16,Clothing
2024-06-17,700.26,15,Electronics
2024-06-18,726.82,25,Home
2024-06-19,725.2,15,Home
2024-06-20,672.16,21,Home
2024-06-21,634.39,20,Office
2024-06-22,606.98,15,Clothing
2024-06-23,616.32,14,Electronics
2024-06-24,720.85,17,Electronics
2024-06-25,738.99,27,Electronics
2024-06-26,853.02,17,Clothing
2024-06-27,697.85,21,Office
2024-06-28,820.96,28,Home
2024-06-29,765.03,15,Clothing
2024-06-30,696.28,13,Clothing
2024-07-01,763.94,15,Clothing
