Order_ID,Date,Sales,Category,Sub_Category,Region,Quantity,Discount,Profit
CA-2021-10001,2021-01-01,228.06,Technology,Copiers,Central,1,0.2,24.76
CA-2021-10002,2021-01-01,136.96,Technology,Accessories,East,1,0.2,36.67
CA-2021-10003,2021-01-01,88.99,Office Supplies,Art,East,1,0.1,16.46
CA-2021-10004,2021-01-02,478.47,Technology,Copiers,West,18,0.2,73.34
CA-2021-10005,2021-01-03,51.24,Furniture,Bookcases,Central,1,0.15,4.23
CA-2021-10006,2021-01-03,434.56,Furniture,Furnishings,West,3,0.0,36.15
CA-2021-10007,2021-01-03,66.84,Office Supplies,Art,South,1,0.15,13.5
CA-2021-10008,2021-01-04,67.01,Office Supplies,Binders,South,1,0.15,16.65
CA-2021-10009,2021-01-04,174.57,Office Supplies,Binders,West,1,0.15,46.15
CA-2021-10010,2021-01-04,70.8,Office Supplies,Art,East,1,0.0,11.17
CA-2021-10011,2021-01-05,324.55,Furniture,Chairs,East,2,0.0,26.98
CA-2021-10012,2021-01-05,90.23,Furniture,Furnishings,East,1,0.2,7.47
CA-2021-10013,2021-01-06,109.22,Furniture,Tables,Central,1,0.2,27.59
CA-2021-10014,2021-01-06,116.22,Office Supplies,Paper,South,1,0.1,16.86
CA-2021-10015,2021-01-06,131.31,Technology,Machines,South,2,0.15,22.91
CA-2021-10016,2021-01-07,399.88,Technology,Copiers,West,4,0.0,88.83
CA-2021-10017,2021-01-08,75.2,Technology,Machines,Central,1,0.0,13.66
CA-2021-10018,2021-01-08,333.44,Office Supplies,Appliances,Central,3,0.15,77.06
CA-2021-10019,2021-01-09,334.64,Furniture,Tables,South,2,0.2,54.65
CA-2021-10020,2021-01-09,119.78,Office Supplies,Storage,South,1,0.2,18.12
CA-2021-10021,2021-01-10,142.01,Office Supplies,Paper,South,2,0.15,11.56
CA-2021-10022,2021-01-10,315.08,Technology,Phones,West,6,0.15,42.18
CA-2021-10023,2021-01-11,305.88,Office Supplies,Paper,West,2,0.1,67.07
CA-2021-10024,2021-01-12,180.7,Furniture,Tables,West,2,0.15,24.53
CA-2021-10025,2021-01-12,169.25,Furniture,Chairs,Central,1,0.0,30.11
CA-2021-10026,2021-01-12,18.97,Office Supplies,Art,Central,1,0.15,2.44
CA-2021-10027,2021-01-13,220.33,Furniture,Chairs,South,2,0.2,19.42
CA-2021-10028,2021-01-13,168.43,Technology,Machines,Central,1,0.15,21.1
CA-2021-10029,2021-01-14,47.96,Office Supplies,Paper,Central,1,0.0,5.84
CA-2021-10030,2021-01-14,293.89,Technology,Accessories,West,5,0.2,33.79
CA-2021-10031,2021-01-14,122.38,Furniture,Furnishings,South,2,0.0,12.07
CA-2021-10032,2021-01-15,91.24,Office Supplies,Paper,South,1,0.0,10.25
CA-2021-10033,2021-01-15,141.96,Office Supplies,Art,West,6,0.1,38.05
CA-2021-10034,2021-01-15,146.89,Furniture,Chairs,West,3,0.1,26.02
CA-2021-10035,2021-01-16,246.6,Furniture,Tables,East,5,0.2,51.77
CA-2021-10036,2021-01-16,59.33,Technology,Copiers,East,1,0.2,5.86
CA-2021-10037,2021-01-16,290.99,Technology,Accessories,Central,5,0.1,79.91
CA-2021-10038,2021-01-17,156.19,Technology,Machines,East,3,0.0,28.09
CA-2021-10039,2021-01-17,118.11,Technology,Machines,East,4,0.2,31.66
CA-2021-10040,2021-01-17,283.94,Furniture,Tables,East,2,0.2,23.59
CA-2021-10041,2021-01-18,335.39,Furniture,Bookcases,Central,2,0.2,46.58
CA-2021-10042,2021-01-19,22.77,Office Supplies,Storage,South,1,0.1,4.62
CA-2021-10043,2021-01-19,99.76,Office Supplies,Binders,Central,1,0.1,14.42
CA-2021-10044,2021-01-19,337.29,Furniture,Chairs,Central,3,0.15,46.79
CA-2021-10045,2021-01-20,120.1,Office Supplies,Paper,South,1,0.0,11.31
CA-2021-10046,2021-01-20,65.31,Office Supplies,Art,Central,1,0.2,12.79
CA-2021-10047,2021-01-20,208.61,Technology,Copiers,West,3,0.1,39.33
CA-2021-10048,2021-01-21,393.21,Technology,Accessories,Central,10,0.0,96.56
CA-2021-10049,2021-01-21,54.08,Furniture,Bookcases,South,1,0.2,10.07
CA-2021-10050,2021-01-22,310.3,Office Supplies,Art,West,5,0.0,49.58
CA-2021-10051,2021-01-22,38.43,Technology,Machines,West,1,0.0,4.49
CA-2021-10052,2021-01-22,36.76,Office Supplies,Paper,South,1,0.1,9.67
CA-2021-10053,2021-01-23,237.78,Furniture,Chairs,South,2,0.2,45.39
CA-2021-10054,2021-01-23,204.7,Office Supplies,Appliances,Central,7,0.1,30.95
CA-2021-10055,2021-01-24,504.02,Furniture,Tables,South,19,0.0,71.71
CA-2021-10056,2021-01-25,177.37,Office Supplies,Appliances,South,6,0.15,14.73
CA-2021-10057,2021-01-25,158.49,Technology,Accessories,South,1,0.0,34.36
CA-2021-10058,2021-01-26,234.92,Office Supplies,Storage,South,6,0.0,44.43
CA-2021-10059,2021-01-26,164.29,Furniture,Furnishings,Central,1,0.2,42.89
CA-2021-10060,2021-01-26,82.33,Furniture,Chairs,South,2,0.1,7.23
CA-2021-10061,2021-01-27,59.61,Office Supplies,Binders,Central,1,0.2,13.03
CA-2021-10062,2021-01-27,289.16,Office Supplies,Appliances,Central,2,0.2,47.3
CA-2021-10063,2021-01-28,488.36,Office Supplies,Appliances,East,5,0.15,135.81
CA-2021-10064,2021-01-29,91.59,Furniture,Bookcases,East,1,0.15,9.22
CA-2021-10065,2021-01-29,212.76,Furniture,Chairs,West,2,0.0,30.64
CA-2021-10066,2021-01-29,86.99,Technology,Copiers,East,3,0.0,22.71
CA-2021-10067,2021-01-30,483.63,Office Supplies,Art,Central,5,0.2,82.07
CA-2021-10068,2021-01-31,24.62,Technology,Phones,East,1,0.15,6.87
CA-2021-10069,2021-01-31,300.86,Office Supplies,Appliances,Central,2,0.15,66.54
CA-2021-10070,2021-01-31,156.49,Technology,Machines,East,1,0.2,39.65
CA-2021-10071,2021-02-01,21.73,Office Supplies,Paper,West,1,0.1,2.09
CA-2021-10072,2021-02-01,298.64,Furniture,Tables,Central,3,0.0,46.03
CA-2021-10073,2021-02-02,405.62,Technology,Copiers,West,2,0.15,67.69
CA-2021-10074,2021-02-03,435.17,Office Supplies,Binders,South,12,0.0,106.43
CA-2021-10075,2021-02-04,217.85,Furniture,Furnishings,East,4,0.1,52.38
CA-2021-10076,2021-02-04,276.81,Furniture,Furnishings,East,10,0.0,24.55
CA-2021-10077,2021-02-05,590.66,Furniture,Furnishings,Central,5,0.0,109.05
CA-2021-10078,2021-02-06,531.56,Technology,Phones,Central,9,0.2,48.68
CA-2021-10079,2021-02-06,115.79,Office Supplies,Art,South,1,0.2,13.19
CA-2021-10080,2021-02-06,47.03,Office Supplies,Binders,South,1,0.2,7.15
CA-2021-10081,2021-02-07,327.13,Furniture,Furnishings,South,7,0.1,31.16
CA-2021-10082,2021-02-07,209.76,Office Supplies,Binders,Central,1,0.15,55.34
CA-2021-10083,2021-02-07,101.15,Office Supplies,Binders,Central,3,0.15,16.41
CA-2021-10084,2021-02-08,40.79,Office Supplies,Storage,Central,1,0.0,7.09
CA-2021-10085,2021-02-08,225.64,Technology,Copiers,East,10,0.15,57.07
CA-2021-10086,2021-02-08,119.98,Furniture,Chairs,Central,1,0.15,22.93
CA-2021-10087,2021-02-09,548.35,Office Supplies,Binders,Central,10,0.1,66.36
CA-2021-10088,2021-02-10,250.51,Office Supplies,Art,Central,7,0.1,45.0
CA-2021-10089,2021-02-10,168.31,Office Supplies,Storage,Central,2,0.0,32.04
CA-2021-10090,2021-02-11,416.48,Technology,Phones,East,11,0.15,68.35
CA-2021-10091,2021-02-12,347.56,Office Supplies,Binders,West,3,0.15,58.21
CA-2021-10092,2021-02-12,212.78,Technology,Accessories,South,2,0.0,50.37
CA-2021-10093,2021-02-12,21.26,Office Supplies,Binders,Central,1,0.0,2.33
CA-2021-10094,2021-02-13,707.42,Furniture,Tables,West,8,0.0,86.18
CA-2021-10095,2021-02-14,146.53,Office Supplies,Art,South,1,0.0,38.0
CA-2021-10096,2021-02-14,145.52,Technology,Copiers,East,1,0.0,17.24
CA-2021-10097,2021-02-14,174.98,Technology,Phones,East,2,0.1,20.19
CA-2021-10098,2021-02-15,453.66,Furniture,Chairs,South,9,0.1,47.97
CA-2021-10099,2021-02-16,255.76,Technology,Machines,West,6,0.2,23.59
CA-2021-10100,2021-02-16,157.39,Office Supplies,Art,East,5,0.15,18.4
CA-2021-10101,2021-02-17,89.14,Technology,Accessories,South,1,0.1,7.79
CA-2021-10102,2021-02-17,298.74,Technology,Copiers,Central,2,0.1,68.69
CA-2021-10103,2021-02-17,31.22,Furniture,Tables,West,1,0.15,4.01
CA-2021-10104,2021-02-18,138.63,Office Supplies,Binders,West,3,0.0,20.6
CA-2021-10105,2021-02-18,306.81,Furniture,Furnishings,West,2,0.0,53.97
CA-2021-10106,2021-02-19,206.84,Technology,Accessories,East,3,0.2,43.27
CA-2021-10107,2021-02-19,126.42,Office Supplies,Storage,South,1,0.1,25.43
CA-2021-10108,2021-02-19,136.85,Furniture,Chairs,West,2,0.1,17.68
CA-2021-10109,2021-02-20,594.42,Furniture,Bookcases,Central,6,0.2,130.41
CA-2021-10110,2021-02-20,20.76,Technology,Accessories,West,1,0.15,5.26
CA-2021-10111,2021-02-21,501.17,Office Supplies,Storage,West,3,0.15,93.72
CA-2021-10112,2021-02-21,91.61,Office Supplies,Storage,East,1,0.1,25.07
CA-2021-10113,2021-02-22,380.14,Furniture,Tables,West,6,0.0,68.89
CA-2021-10114,2021-02-23,242.74,Office Supplies,Binders,East,8,0.2,29.21
CA-2021-10115,2021-02-23,281.37,Office Supplies,Art,East,7,0.0,65.29
CA-2021-10116,2021-02-23,19.69,Technology,Copiers,South,1,0.15,2.95
CA-2021-10117,2021-02-24,15.69,Furniture,Furnishings,Central,1,0.1,3.76
CA-2021-10118,2021-02-24,308.05,Technology,Phones,East,2,0.15,63.69
CA-2021-10119,2021-02-24,194.77,Office Supplies,Art,East,1,0.0,42.19
CA-2021-10120,2021-02-25,142.74,Furniture,Bookcases,Central,1,0.0,21.56
CA-2021-10121,2021-02-25,262.34,Technology,Copiers,West,2,0.2,33.0
CA-2021-10122,2021-02-25,111.64,Technology,Copiers,West,1,0.15,25.24
CA-2021-10123,2021-02-26,128.81,Furniture,Tables,East,2,0.0,30.36
CA-2021-10124,2021-02-26,101.48,Furniture,Tables,South,1,0.1,18.14
CA-2021-10125,2021-02-26,298.58,Office Supplies,Paper,West,2,0.15,46.51
CA-2021-10126,2021-02-27,714.0,Technology,Phones,South,18,0.15,115.52
CA-2021-10127,2021-02-28,306.42,Technology,Accessories,West,4,0.1,49.08
CA-2021-10128,2021-02-28,448.08,Technology,Accessories,West,4,0.1,88.38
CA-2021-10129,2021-03-01,145.85,Technology,Machines,South,1,0.2,34.72
CA-2021-10130,2021-03-01,405.99,Furniture,Furnishings,Central,10,0.2,62.88
CA-2021-10131,2021-03-02,398.51,Office Supplies,Storage,South,4,0.15,36.25
CA-2021-10132,2021-03-02,88.54,Furniture,Tables,South,1,0.1,12.99
CA-2021-10133,2021-03-03,52.4,Technology,Accessories,Central,1,0.0,10.35
CA-2021-10134,2021-03-03,194.96,Technology,Machines,Central,5,0.2,38.12
CA-2021-10135,2021-03-03,250.95,Office Supplies,Appliances,South,4,0.0,49.22
CA-2021-10136,2021-03-04,467.87,Office Supplies,Art,Central,3,0.0,65.46
CA-2021-10137,2021-03-05,654.66,Technology,Copiers,South,4,0.2,113.68
CA-2021-10138,2021-03-06,18.21,Office Supplies,Art,East,1,0.1,4.24
CA-2021-10139,2021-03-06,400.3,Furniture,Furnishings,East,13,0.15,61.91
CA-2021-10140,2021-03-06,161.79,Office Supplies,Storage,West,1,0.0,13.76
CA-2021-10141,2021-03-07,632.62,Furniture,Bookcases,Central,12,0.15,114.57
CA-2021-10142,2021-03-07,164.39,Office Supplies,Paper,Central,1,0.15,34.61
CA-2021-10143,2021-03-08,159.79,Furniture,Tables,East,2,0.15,41.43
CA-2021-10144,2021-03-08,284.26,Technology,Accessories,Central,2,0.0,24.25
CA-2021-10145,2021-03-09,533.39,Furniture,Furnishings,West,3,0.15,109.32
CA-2021-10146,2021-03-10,252.67,Office Supplies,Paper,West,1,0.15,68.14
CA-2021-10147,2021-03-10,88.36,Office Supplies,Art,South,2,0.1,15.68
CA-2021-10148,2021-03-10,277.09,Office Supplies,Paper,West,12,0.1,63.27
CA-2021-10149,2021-03-11,401.58,Office Supplies,Storage,West,2,0.1,104.46
CA-2021-10150,2021-03-11,119.33,Office Supplies,Appliances,Central,1,0.2,12.36
